text,label,source
"[FOCUS]
버넥트 관계자는 ""2022년부터 메이크&뷰 연간 라이선스를 꾸준히 도입해 온 한국타이어앤테크놀로지와 이번에 미국 테네시 공장까지 적용 범위를 함께 넓혔다는 점에서 의미가 크다""며 ""압출·비드 등 타이어 핵심 공정 전반을 가상실습으로 구현하고 XR 기반 저작 환경까지 결합해 해외 생산 현장의 상시 교육 인프라로 안착시킨 만큼 정기 콘텐츠 업데이트 체계를 통해 현장 변화에 유연하게 대응하는 교육 운영 구조를 함께 만들겠다""고 말했

[DETAIL]
한국타이어앤테크놀로지는 2022년부터 메이크&뷰를 연간 라이선스 방식으로 지속 도입해 온 기업이다. 이번 테네시 공장 적용은 국내 운영 기반을 해외 생산 법인으로 넓힌 확장 사례다. 핵심은 시범 적용이 아닌 상시 운영 가능한 교육 인프라를 해외 생산 현장에 이식했다는 점이다.",1,438700|버넥트
"[FOCUS]
산업 특화 AI 기업 버넥트가 과학기술정보통신부와 정보통신산업진흥원(NIPA)이 주관하는 2026 AI 바우처 사업 공급기업 Pool에 최종 승인됐다고 밝혔다. 버넥트는 이번 선정으로 2025년에 이어 2년 연속 참여 자격을 확보했으며, 이번에는 제조·플랜트·조선·방산 등 산업 현장의 AI 도입을 직접 겨냥한 신규 솔루션 3종을 공급 목록에 추가 등재했다.

[DETAIL]
산업 특화 AI 기업 버넥트가 과학기술정보통신부와 정보통신산업진흥원(NIPA)이 주관하는 2026 AI 바우처 사업 공급기업 Pool에 최종 승인됐다고 밝혔다. 버넥트는 이번 선정으로 2025년에 이어 2년 연속 참여 자격을 확보했으며, 이번에는 제조·플랜트·조선·방산 등 산업 현장의 AI 도입을 직접 겨냥한 신규 솔루션 3종을 공급 목록에 추가 등재했다. AI 바우처 사업은 AI 기술 도입을 원하는 중소·중견기업(수요기업)과 AI 솔루션 공급기업을 정부가 연결하는 지원 프로그램이다.",2,438700|버넥트
"[FOCUS]
비트맥스, 동운아나텍, 위지윅스튜디오가 1% 미만의 하락세를 기록했고, 차량용 반도체 설계 전문인 텔레칩스와 시스템 통합(SI) 업체 에스넷도 하락 마감했다. 3D 센싱 카메라 모듈을 생산하는 나무가와 가상 훈련 시스템 전문 이노시뮬레이션, 디스플레이 장비 업체 신도기연도 3% 내외의 하락률을 기록하며 장을 마쳤다.

[DETAIL]
증강현실(AR) 테마는 27일 가온그룹의 선전에도 불구하고 전일 대비 1.30% 하락하며 거래를 마감했다. 글로벌 빅테크 기업들의 XR(확장현실) 기기 출시 연기 소식과 더불어 단기 급등에 따른 피로감이 겹치며 투자자들이 수익 확정에 나선 것이 주요 하락 원인으로 분석된다. 테마 내에서 독보적인 상승세를 보인 종목은 가온그룹이었다.",1,438700|버넥트
"XR·AI 기반 산업 솔루션 기업 버넥트(VIRNECT)가 글로벌 반도체 제조사에 클린룸 운영 지원을 위한 'VIRNECT Remote(버넥트 리모트)'를 공급했다고 밝혔다. 최근 AI 인프라 확산으로 고성능 반도체 수요가 증가하면서, 반도체...",2,438700|버넥트
"[FOCUS]
30일 코데즈컴바인 관계자는 “유통 채널 다변화를 위해 온라인 판매 비중을 점진적으로 확대하고 있다”며 “현재 온라인 매출 비중은 약 1% 수준이지만 자사몰 매출을 중심으로 성장세가 나타나고 있으며, 향후 외부 온라인 플랫폼으로도 판매 채널을 넓힐 계획”이라고 말했다. 코데즈컴바인 관계자는 “유통 채널을 오프라인에서 온라인으로 확대하고 해외 수출도 늘리며 사업 구조를 다변화하고 있다”며 “생산 중심에서 수익 중심 경영으로 전환

[DETAIL]
코데즈컴바인이 유통 구조를 오프라인 중심에서 온라인으로 전환하고 해외 수출을 확대하며 중장기 성장 기반 마련에 나섰다. 수익 중심 경영을 통해 불확실한 내수 환경에 대응하면서 사업 구조를 재편하겠다는 전략이다. 30일 코데즈컴바인 관계자는 “유통 채널 다변화를 위해 온라인 판매 비중을 점진적으로 확대하고 있다”며 “현재 온라인 매출 비중은 약 1% 수준이지만 자사몰 매출을 중심으로 성장세가 나타나고 있으며, 향후 외부 온라인 플랫폼으로도 판매 채널을 넓힐 계획”이라고 말했다.",1,047770|코데즈컴바인
"[FOCUS]
■ 한화오션 (042660) 보통주 37,721주 51억원 규모 자사주 취득 취득예정주식 : 보통주 37,721주 (5,107,423,400원) 취득예상기간 : 2026년 03월 20일 ~ 2026년 06월 03일 취득방법 : 유가증권시장을 통한 장내 매수 (위탁투자중개업자 : NH투자증권) 1일 매수 주문수량 한도 : 보통주 535,694주 (정정 전 534,450주 대비 1,244주 상향) 성과 창출을 위한 임직원 동기부여

[DETAIL]
■ 한화오션 (042660) 보통주 37,721주 51억원 규모 자사주 취득 취득예정주식 : 보통주 37,721주 (5,107,423,400원) 취득예상기간 : 2026년 03월 20일 ~ 2026년 06월 03일 취득방법 : 유가증권시장을 통한 장내 매수 (위탁투자중개업자 : NH투자증권) 1일 매수 주문수량 한도 : 보통주 535,694주 (정정 전 534,450주 대비 1,244주 상향) 성과 창출을 위한 임직원 동기부여 목적인 RSU(Restricted Stock Units) 및 성과인센티브 지급용임 ■ 러셀 (217500) 보통주 140만주 38억원 규모 자",1,047770|코데즈컴바인
"[FOCUS]
코데즈컴바인의 2025년 연결 기준 매출액은 397억2287만931원으로, 2024년 396억134만5466원 대비 0.3% 증가했다. 같은 기간 영업이익은 24억1662만9397원으로 전년 10억5920만7942원보다 128.2% 늘었다.

[DETAIL]
코데즈컴바인의 2025년 연결 기준 매출액은 397억2287만931원으로, 2024년 396억134만5466원 대비 0.3% 증가했다. 같은 기간 영업이익은 24억1662만9397원으로 전년 10억5920만7942원보다 128.2% 늘었다. 당기순이익은 38억6521만4336원으로, 2024년 18억5963만7040원 대비 107.8% 증가했다.",1,047770|코데즈컴바인
"[FOCUS]
현재 코데즈컴바인의 주가는 5,170원으로, 지난 종가 4,395원 대비 17.63% 상승한 가격을 기록하고 있다. 19일 오후 1시 42분 기준, 네이버페이 증권에 따르면 코데즈컴바인 주가가 지난 종가 대비 큰 폭으로 상승하며 거래되고 있다.

[DETAIL]
19일 오후 1시 42분 기준, 네이버페이 증권에 따르면 코데즈컴바인 주가가 지난 종가 대비 큰 폭으로 상승하며 거래되고 있다. 현재 코데즈컴바인의 주가는 5,170원으로, 지난 종가 4,395원 대비 17.63% 상승한 가격을 기록하고 있다. 시가는 4,485원에 형성되었으며, 현재까지의 가격 변동폭은 저가 4,350원에서 고가 5,540원 사이였다.",1,047770|코데즈컴바인
"[FOCUS]
코데즈컴바인의 주가 상승세는 동일업종 등락률 -0.57%와 대조적인 움직임을 보이고 있다. 지난 종가 4,395원과 비교하여 755원, 즉 17.18% 오른 수치다.

[DETAIL]
지난 종가 4,395원과 비교하여 755원, 즉 17.18% 오른 수치다. 주가는 시가 4,485원으로 시작했으며, 고가는 5,540원, 저가는 4,350원을 기록했다. 현재까지의 가격 변동폭은 1,190원이다.",1,047770|코데즈컴바인
"[FOCUS]
업계 최고 수준의 수익성을 확보하고도 공격적 투자를 자제해 온 보수적 행보에서 벗어나 400억원에 육박하는 신규 소각로 투자를 공식화했다. 와이엔텍은 매립장 부문 매출총이익률이 60%를 웃도는 고수익 구조의 기업이다.

[DETAIL]
상법 개정안은 추진 단계에서 잡음이 있긴 했지만 결과적으로 코스피 급등의 견인차 역할을 하고 있다. 향후 시장의 핵심 키워드는 주주 권익 보호와 상속세 개편이다. <블로터·넘버스>는 [K디스카운트] 기획을 통해 시장의 뜨거운 관심에서 한발 비껴 서 있는 우량 저평가 기업들을 살펴보고, 이들이 마주한 현실적인 과제를 짚어보고자 한다.",1,067900|와이엔텍
"[FOCUS]
같은 기간 영업이익은 260억7300만원으로 302억7800만원에서 13.89% 감소했다. 와이엔텍의 2025년 1월 1일부터 2025년 12월 31일까지 매출액은 1169억9600만원으로, 2024년 1월 1일부터 2024년 12월 31일까지 1137억6000만원 대비 2.84% 증가했다.

[DETAIL]
와이엔텍의 2025년 1월 1일부터 2025년 12월 31일까지 매출액은 1169억9600만원으로, 2024년 1월 1일부터 2024년 12월 31일까지 1137억6000만원 대비 2.84% 증가했다. 같은 기간 영업이익은 260억7300만원으로 302억7800만원에서 13.89% 감소했다. 2025년 당기순이익은 271억4400만원으로, 전년 313억1200만원 대비 13.31% 줄었다.",0,067900|와이엔텍
"[FOCUS]
2024년 기준 해상운송 매출은 636억원으로 환경(폐기물)부문 매출 301억원을 상회하지만, 매출총이익률은 환경부문이 약 41%로 해상운송(약 18%) 대비 두 배 이상 높았다. 2024년 기준 소각(중간처분)의 톤당 매출은 약 28만원으로, 매립(최종처분·약 12만원) 대비 두 배 이상 높다.

[DETAIL]
23일 업계와 금융감독원 전자공시시스템에 따르면 와이엔텍은 391억원을 투자해 신규 소각로를 건설한다. 투자기간은 2026년 3월부터 2028년 4월까지다. 현재 소각장 증설 관련 인허가가 대부분 마무리 단계에 들어섰고, 10월 착공을 목표로 절차를 진행 중인 것으로 전해졌다.",2,067900|와이엔텍
"[FOCUS]
최원준 MX사업부 개발실장 겸 최고운영책임자(COO) 사장은 ""삼성전자는 2024년 최초의 AI폰을 선보인 이후, 더 많은 사용자가 AI의 경험을 일상에서 자연스럽게 누릴 수 있도록 기능을 지속적으로 개선하고 있다""고 말했다. 서플러스글로벌, SEMICON KOREA 2026서 세미마켓 사용자 급증… 3일간 800명 현장 가입 서플러스글로벌은 국내 최대 반도체 산업 전시회 ‘세미콘 코리아(SEMICON KOREA) 2026’

[DETAIL]
삼성전자, 강력한 디바이스 에이전트로 진화한 '빅스비(Bixby)' 베타 프로그램 운영 삼성전자는 지난 19일부터 한층 강력한 디바이스 에이전트로 진화한 '빅스비 (Bixby)' 베타 프로그램을 운영하고 있다고 20일 밝혔다. 강력해진 빅스비는 'One UI 8.5 베타 프로그램'에 참여중인 사용자의 갤럭시 S25 시리즈에 순차적으로 업데이트 된다. 삼성전자의 AI 음성비서 '빅스비'는 이번 베타 프로그램에서 자연어를 기반으로 더욱 직관적이고 손쉬운 디바이스 제어 기능을 지원한다.",1,140070|서플러스글로벌
"[FOCUS]
서플러스글로벌(SurplusGLOBAL)은 지난 25일부터 27일까지 중국 상하이 신국제엑스포센터(SNIEC)에서 열리는 'SEMICON China 2026'에 참가해, 글로벌 반도체 장비·부품 유통 플랫폼 'SemiMarket'을 중심으로 데이터 기반 거래 모델과 온라인 입찰(Auction) 서비스를 선보인다고 26일 밝혔다. 'SEMICON China 2026'은 3월 25~27일 SNIEC에서 개최되며, 서플러스글로벌 공

[DETAIL]
서플러스글로벌(SurplusGLOBAL)은 지난 25일부터 27일까지 중국 상하이 신국제엑스포센터(SNIEC)에서 열리는 'SEMICON China 2026'에 참가해, 글로벌 반도체 장비·부품 유통 플랫폼 'SemiMarket'을 중심으로 데이터 기반 거래 모델과 온라인 입찰(Auction) 서비스를 선보인다고 26일 밝혔다. 'SEMICON China 2026'은 3월 25~27일 SNIEC에서 개최되며, 서플러스글로벌 공식 안내 기준 전시 위치는 홀6 부스번호 5151이다.",2,140070|서플러스글로벌
"[FOCUS]
서플러스글로벌(SurplusGLOBAL)이 오는 27일까지 중국 상하이 신국제엑스포센터(SNIEC)에서 열리는 'SEMICON China 2026'에 참가해 글로벌 반도체 장비·부품 유통 플랫폼 'SemiMarket'의 온라인 입찰 서비스를 본격 소개한다고 25일 밝혔다. 현재 베타 버전으로 운영 중인 SemiMarket은 2000대의 장비와 12만점의 중고 반도체 장비 부품 정보를 기반으로 글로벌 수요자와 공급자를 연결하고

[DETAIL]
서플러스글로벌(SurplusGLOBAL)이 오는 27일까지 중국 상하이 신국제엑스포센터(SNIEC)에서 열리는 'SEMICON China 2026'에 참가해 글로벌 반도체 장비·부품 유통 플랫폼 'SemiMarket'의 온라인 입찰 서비스를 본격 소개한다고 25일 밝혔다. 전시 핵심은 SemiMarket의 첫 온라인 입찰이다. 세계적인 OSAT 기업이 보유한 중고 후공정 장비 227대를 대상으로 25일 입찰을 시작해 4월 9일 마감한다.",1,140070|서플러스글로벌
